인허가번호,업소명,업종,업소주소,인허가관할기관
20080433258,한국야쿠르트충주특판강일유통,집단급식소식품판매업,"충청북도 충주시 목행산단7로 24, K동 321호 (목행동)",충청북도 충주시
20090433279,해동상회,집단급식소식품판매업,"충청북도 충주시 행정9길 17, (목행동)",충청북도 충주시
20090433414,씨제이종합유통,집단급식소식품판매업,"충청북도 충주시 목행산단5로 70, 가동 (목행동)",충청북도 충주시
20130433332,푸른누리영농조합법인,집단급식소식품판매업,"충청북도 충주시 하풍1길 1, 1층 101호 (풍동)",충청북도 충주시
20140433358,토옥한우주식회사,집단급식소식품판매업,"충청북도 충주시 칠지1길 18, (칠금동)",충청북도 충주시
20140433370,코주부충주점,집단급식소식품판매업,"충청북도 충주시 대가주1길 11, (가주동)",충청북도 충주시
20140433423,중원유통,집단급식소식품판매업,"충청북도 충주시 목행산단7로 24, E동 106호 (목행동)",충청북도 충주시
20150433632,장보고마트,집단급식소식품판매업,"충청북도 충주시 무학3길 6, (봉방동)",충청북도 충주시
20160433397,플러스푸드,집단급식소식품판매업,"충청북도 충주시 능바우길 57, (칠금동)",충청북도 충주시
20160433535,일월식품,집단급식소식품판매업,충청북도 충주시 산척면 천등박달로 338,충청북도 충주시
20160445421,(주)충북푸드,집단급식소식품판매업,"충청북도 충주시 수안보면 온천중앙길 35, 1층",충청북도 충주시
20170433084,아리랑푸드,집단급식소식품판매업,"충청북도 충주시 목행산단7로 24, K동 309호 (목행동)",충청북도 충주시
20170433155,충주친환경유기영농조합법인(채소부),집단급식소식품판매업,충청북도 충주시 주덕읍 중원산업1로 40,충청북도 충주시
20170433721,아이원,집단급식소식품판매업,"충청북도 충주시 산척면 동산로 725, 1층",충청북도 충주시
20180442619,충주키즈,집단급식소식품판매업,"충청북도 충주시 대림1길 4, 1동 2호 (문화동)",충청북도 충주시
20180442736,모닝마트세경점,집단급식소식품판매업,"충청북도 충주시 신촌2길 6, 예성세경아파트상가 A동 101호 (호암동)",충청북도 충주시
20190442285,(주)형제푸드시스템,집단급식소식품판매업,"충청북도 충주시 엄정면 논동옥성길 159, 1층",충청북도 충주시
20190442897,(주)모닝마트,집단급식소식품판매업,"충청북도 충주시 남산로 88, (용산동)",충청북도 충주시
20190442921,종가집,집단급식소식품판매업,"충청북도 충주시 목행산단7로 24, K동 102,103호 (목행동)",충청북도 충주시
19990433269,수안보농협가공공장,유통전문판매업,충청북도 충주시 수안보면 발화동길 65-15,충청북도 충주시
20010433034,(주)동심,유통전문판매업,충청북도 충주시 중앙탑면 감노로 2315,충청북도 충주시
20040433459,(주)다올통상,유통전문판매업,"충청북도 충주시 동량면 호반로 49, 2층",충청북도 충주시
20050433256,장안농장,유통전문판매업,충청북도 충주시 신니면 하랭이길 140,충청북도 충주시
20070433375,주식회사건국내츄럴에프앤비,유통전문판매업,"충청북도 충주시 계명대로 265, 다동 102,103호 (연수동)",충청북도 충주시
20080433099,영양제과(주),유통전문판매업,충청북도 충주시 신니면 덕고개로 255,충청북도 충주시
20100433454,(주)꽃피는아침마을,유통전문판매업,충청북도 충주시 노은면 솔고개로 737-1,충청북도 충주시
20110433112,(주)코주부B&F,유통전문판매업,"충청북도 충주시 신니면 신석3길 77, 라동",충청북도 충주시
20110433310,서울식품공업(주),유통전문판매업,"충청북도 충주시 충원대로 862, (목행동)",충청북도 충주시
20110433379,하얀민들레농원,유통전문판매업,충청북도 충주시 주덕읍 제내사락길 33,충청북도 충주시
20120433242,동화약품(주),유통전문판매업,"충청북도 충주시 충주산단1로 167, (용탄동)",충청북도 충주시
20120433328,(주)올찬식품,유통전문판매업,충청북도 충주시 금가면 문곡길 103,충청북도 충주시
20120433470,농업회사법인(주)햇살블루,유통전문판매업,충청북도 충주시 중앙탑면 풍년길 100-1,충청북도 충주시
20120332604,아이배냇(주),유통전문판매업,"충청북도 충주시 대소원면 메가폴리스3로 8, 2층",충청북도 충주시
20130433373,(주)파미안,유통전문판매업,"충청북도 충주시 상방6길 64, (봉방동)",충청북도 충주시
20130433445,(주)올가니카,유통전문판매업,충청북도 충주시 소태면 구룡로 692-13,충청북도 충주시
20130362081,KGEC(케이지이씨),유통전문판매업,"충청북도 충주시 엄정면 웃세고개길 35-14, 2층",충청북도 충주시
20150433046,사랑농원,유통전문판매업,충청북도 충주시 엄정면 내창로 202-1,충청북도 충주시
20150433050,미녹원,유통전문판매업,충청북도 충주시 금가면 금가중앙1길 98,충청북도 충주시
20150433441,농업회사법인(주)두레촌,유통전문판매업,충청북도 충주시 대소원면 완오신촌길 27,충청북도 충주시
20150433459,어울청,유통전문판매업,"충청북도 충주시 대소원면 완오신촌길 27, 2층",충청북도 충주시
20160433019,여누넷,유통전문판매업,"충청북도 충주시 남산13길 2, (교현동)",충청북도 충주시
20160433331,애플샵,유통전문판매업,"충청북도 충주시 목행산단7로 24, A동 348호 (목행동)",충청북도 충주시
20160275054,(주)산지,유통전문판매업,충청북도 충주시 대소원면 메가폴리스로 36,충청북도 충주시
20170433275,더하니,유통전문판매업,충청북도 충주시 중앙탑면 인담길 7,충청북도 충주시
20170433493,태인식품,유통전문판매업,"충청북도 충주시 삼원로 66, 1층 (봉방동)",충청북도 충주시
20170433499,예림이네곤충마을,유통전문판매업,"충청북도 충주시 대가미6길 20, (칠금동)",충청북도 충주시
20170433548,충북원예농협거점APC,유통전문판매업,"충청북도 충주시 금가면 금가중앙2길 1-22, 2층",충청북도 충주시
20170433710,(주)트루나스,유통전문판매업,"충청북도 충주시 충주산단6로 32, 2층 (용탄동)",충청북도 충주시
20170106748,(주)유앤미에프앤비,유통전문판매업,충청북도 충주시 대소원면 메가폴리스2로 8,충청북도 충주시
20170433146,(주)티지와이,유통전문판매업,충청북도 충주시 주덕읍 중원산업로 57-32,충청북도 충주시
20180442130,(주)태한무역,유통전문판매업,"충청북도 충주시 앙성면 앙암로 131, 가동",충청북도 충주시
20180442178,에이티아이(ATI),유통전문판매업,"충청북도 충주시 성터3길 33, 101호 (문화동)",충청북도 충주시
20180442327,제이푸드,유통전문판매업,충청북도 충주시 대소원면 첨단쉼터4길 10,충청북도 충주시
20180442331,유한회사 덕성농업회사법인,유통전문판매업,"충청북도 충주시 금가면 금가중앙1길 98, 가동",충청북도 충주시
20180442547,농업회사법인올투게더네이쳐스(주),유통전문판매업,"충청북도 충주시 동수5길 17, (연수동)",충청북도 충주시
20180442635,숲담은블랙커런트,유통전문판매업,충청북도 충주시 노은면 연하중앙길 47,충청북도 충주시
20180442687,농업회사법인 햇살여문(주),유통전문판매업,"충청북도 충주시 거룡6길 23-1, 1층 (용산동)",충청북도 충주시
20190442043,경수농산,유통전문판매업,"충청북도 충주시 하용두3길 50-23, 저온저장고 (용두동)",충청북도 충주시
20190442114,소나무상사,유통전문판매업,충청북도 충주시 엄정면 내창로 229,충청북도 충주시
20190442125,(주)명가,유통전문판매업,"충청북도 충주시 상방2길 5, 1층 (봉방동)",충청북도 충주시
20190442532,(주)생활바이오,유통전문판매업,충청북도 충주시 대소원면 첨단산업4로 63-1,충청북도 충주시
20190442556,한마음염소 영농조합법인,유통전문판매업,"충청북도 충주시 천변로 211, 1층 (교현동)",충청북도 충주시
20190442570,농업회사법인그린그래스(주),유통전문판매업,"충청북도 충주시 연수로 67, 1층 (연수동)",충청북도 충주시
20190442747,남한강굼벵이,유통전문판매업,"충청북도 충주시 엄정면 구룡로 411, A동 1층",충청북도 충주시
20190442774,장길영사과감자떡,유통전문판매업,"충청북도 충주시 중앙탑면 청금로 265, 1층",충청북도 충주시
20190442806,진건강바이오,유통전문판매업,"충청북도 충주시 엄정면 웃세고개길 35-14, 2층",충청북도 충주시
20190442839,들골꾸지뽕농원,유통전문판매업,"충청북도 충주시 예성로 256, 충주축협 3층 (교현동)",충청북도 충주시
20190442927,청명약초,유통전문판매업,충청북도 충주시 앙성면 앙암로 983-1,충청북도 충주시
20190230150,주식회사지향,유통전문판매업,"충청북도 충주시 금가면 강수로 56, 1층",충청북도 충주시
20200442173,초담유통,유통전문판매업,"충청북도 충주시 신니면 덕고개로 412, 나동",충청북도 충주시
20200442199,(주)알엠바이오테크,유통전문판매업,"충청북도 충주시 연수로1길 11, 1층 (연수동)",충청북도 충주시
20200442322,주식회사바이오봄,유통전문판매업,"충청북도 충주시 충원대로 268, 건국대학교글로컬캠퍼스창업보육센터 4층 406호 (단월동)",충청북도 충주시
20200442422,농업회사법인(주)올빛,유통전문판매업,"충청북도 충주시 목행산단2로 31, (목행동)",충청북도 충주시
20200442436,아이비에이치피씨(IBHPC),유통전문판매업,"충청북도 충주시 무학3길 11, 1층 (봉방동)",충청북도 충주시
19960433205,충주농협,기타식품판매업,"충청북도 충주시 봉방3길 16, (봉방동)",충청북도 충주시
19990433453,충주축산농협하나로마트,기타식품판매업,"충청북도 충주시 예성로 256, (교현동)",충청북도 충주시
20000433062,모닝마트세경점,기타식품판매업,"충청북도 충주시 신촌2길 6, 1층 (호암동)",충청북도 충주시
20010433277,놀부공판장,기타식품판매업,"충청북도 충주시 주공길 10, (연수동)",충청북도 충주시
20010433470,(주)이마트충주점,기타식품판매업,"충청북도 충주시 중원대로 3420, (문화동)",충청북도 충주시
20010433642,롯데쇼핑(주)롯데마트충주점,기타식품판매업,"충청북도 충주시 봉계1길 49, (칠금동)",충청북도 충주시
20020433338,충주공판장주식회사,기타식품판매업,"충청북도 충주시 사직로 286, 염밭로118 (교현동) (안림동)",충청북도 충주시
20030433008,(주)지에스리테일충주용산점,기타식품판매업,"충청북도 충주시 남산로 72, (용산동)",충청북도 충주시
20040433361,럭키유통,기타식품판매업,"충청북도 충주시 중원대로 지하 3377, 상가동 (문화동)",충청북도 충주시
20050433404,주덕농협하나로마트,기타식품판매업,충청북도 충주시 주덕읍 신양로 34,충청북도 충주시
20060433109,지에스더프레시(GS THE FRESH) 충주연수점,기타식품판매업,"충청북도 충주시 금곡로 55, (연수동)",충청북도 충주시
20060433237,(주)누리마트 칠금점,기타식품판매업,"충청북도 충주시 칠금11길 17, (칠금동)",충청북도 충주시
20070433169,모닝마트호암점,기타식품판매업,"충청북도 충주시 호암대로 123, (호암동)",충청북도 충주시
20070433384,신세계유통,기타식품판매업,"충청북도 충주시 호암중앙1로 48, (호암동)",충청북도 충주시
20080433034,팡팡마트,기타식품판매업,"충청북도 충주시 연수로 57, (연수동)",충청북도 충주시
20080433294,주식회사 모닝마트,기타식품판매업,"충청북도 충주시 남산로 88, (용산동)",충청북도 충주시
20080433327,제일큰마트,기타식품판매업,"충청북도 충주시 목행산단7로 24, F동 103,104,105호 (목행동)",충청북도 충주시
20090433175,수안보농협,기타식품판매업,충청북도 충주시 수안보면 온천중앙길 5,충청북도 충주시
20100433042,엘마트,기타식품판매업,"충청북도 충주시 연수동산로 11, (연수동)",충청북도 충주시
